中国移动营销行来发展报告alink	王大姐，打字细心一点
一位妈妈将她四岁儿子的涂鸦做成了真实的毛绒玩具	太厉害了！小朋友是最好的设计师，妈妈是最有爱的制作人。
竟然下雪了，不喜欢冬天，天气何时才变暖啊。	记得雪莱的诗句吗？＂冬天来了，春天还会远吗？＂
困扰我多年的问题终于得解了。	鱿鱼墨鱼笔管八带还有啥？
大学生一定要看的一分钟，它能让你奋斗一辈子alink	我喜欢；水能复舟。也能。
#米吧秀图#月底了，敢说出你手机还有多少流量么？	这个图片是谁照的啊，真是绝啊
我擦！这么多人来看我！	咔咔，愚蠢的人类。【严肃脸。内心独白】
各位都到了吗？深圳一会见哈：））	在深圳哪里呀？办节目吗？
如果有人煮这个汤给你喝，你会感动吗？	把胡萝卜拿出来丢掉，继续喝汤。
上传了23张照片到“微相册”。alink	好漂亮。希望能揭开所有谜底。
看见有黑点的要注意休息了。	放远点看就没有啦。近处看一堆的
若慈善不透明，则捐款无意义。	慈善再透明，捐款都无意
成熟的最大好处是：以前得不到的，现在不想要了。	姐姐走出来了，可喜可贺。
编织和仿旧的风格，看起来很有质感	从配色到用料都是喜欢的类型。
听到这周要连上7天的消息后，我突然意识到。	放假一天的看到这句表示压力零了。
慢镜头回放狗狗看到食物的可爱反应！alink	1:12秒内个很销魂啊。
个人经验，普通话过于标准的人一般干不了什么大事。	可以做主持人，播音员，央视的那些也算是干大事吧
喵星人个个都是武林高手！	都说喵是会飞的真不开玩笑
2012地球不会毁灭，因为多啦A梦告诉我们他是从2070年来的。	不毁灭啦？那我惨咯。
#虎扑话题#谁是你心中外貌最帅气的教练？alink	里皮一出，谁与争锋？
苹果不要只削一半好不好！你们考虑过苹果的感受嘛！	还好，留了一半皮。要不早就被消灭了。
转眼，他走了16年。如果，他还活着……	这样的话我们都可以问，唯独你不能问！
alink讲好公子和坏公子的文章，不错。凤凰网。	作吧，总有一天报应，大家稍安静候。
杨怡真的好像马啊！好想喂她吃草！	给跪了，真是伸手不见五指！
【治愈系图片】又到了毕业季——这么有爱的毕业照你们见过吗？	我就像里面珂南君，你呢
科普贴：《大林和小林》剧照	看着好吓人啊！有没有人同感？
另外一个坏消息，巴恩斯续约快船，孩子们，咱又没戏了。	相信湖人，相信24（楼下的整理好队形'给主页希望）
过去我们再也回不去了，	外国人的创意总是让我有惊喜。
一群垃圾的制造者，当然也包括我自己。	应该是一群资源的遗弃者
走近科学：神农架野香蕉。国外又称死人手指	能吃吗…………好想吐……
不要恋家！又要开始训练啦！不想回家，一点也不想	加油吧！我们支持你。
#郑在提醒吃早餐#没忘了吃早饭吧？餐桌上这段文字出自哪部作品？	大叔的早餐好有营养！
男子因女儿哭闹一脚将其踢死alink	小孩哭闹的确很烦人只能说这位父亲点背给踢死了
当你觉得生活没意思的时候。(转)	当你觉得生活没意思的时候。
百度官方微博即将上线，敬请期待！	中国搜索引擎的大佬也来微博了。
长春柏翠园小区绿化植物之一：伞形紫花，灌木，科属种？	怎样能和您有合作机会呢
#NBA总决赛#热火击败马刺，卫冕成功。	老兵永远不死。虐心的第六场！
据说，强迫症的童鞋看完之后很难受。「转」	强烈鄙视，哪有这样折腾的，你们考虑过耳塞的感受吗？
谁是谁的如花美眷，谁错过了谁的似水流年。	句子很矫情，图片很诡异。
人的眼睛有5.76亿像素但却终究看不懂人心。「转」	这个化功我是佩服了！
好像反动派们都不在这里？	你就是“反动派”。罗！
农夫山泉右边是假的，大家转发告诉身边的朋友。	早被农夫山泉辟谣了，两个都是真的。
不去刻意造作自己的心自然自在随性而天真	顺其自然，随遇而安，一切随兴，能不能
巴萨官方宣布阿根廷人马蒂诺出任球队新帅！	我去。我也一直以为是恩里克呢。
多关注新电影＜致命闪玩＞💓💓	里面有露点吗？有就看.
三峡大坝质量如何？诡异。分享图片	知道什么叫一年不如一年了。
老师改到这份答题卡的时候，跳起来了。	哈哈。玩这个玩疯了吧。
世上最幸福的事：坏脾气的她遇到好脾气的他，他却爱上了她。	这相爱好奇怪，无法理解。
据说，这是布拉德皮特写给妻子的信——《爱的秘密》。	女人是男人的镜子，你怎样对她，在她身上全部展现无遗。
在飞往尼泊尔的机程一口气看完。	我才看了5页。就没接下去看了。
据说是二年级的数学题你会吗？「转」	变态的教育，是想培养出来孩子变态的思维能力吗
法网女单决赛李娜VS斯齐亚沃尼CCTV5视频直播：alink	李娜VS吕颂贤好吗，哈哈哈哈
乞丐虽穷但有人格，猪狗不如畜生是也！	这又是那个狗娘养的，骂已出口，对不起这位畜生的母亲了。
各种失误，你们感受一下。	厨房那个太搞笑了！哈哈哈
吃泡面的最高境界！你有木有！	啃爹啊，汤都喝光的吗？
诺基亚Lumia710组成的多米诺，想不想推倒TA？	想推倒TA，再送我三个颜色的就够了！
请各位朋友不要把我列入自媒体.谢谢.	从您这学习很多。最棒的自媒体！哈哈哈哈哈啊啊
叶秉桓刚刚示范了一下「转音转到吐」。声线挺棒。	强烈恳请中国好声音与我是歌手合并为中国歌手〜
童鞋们，咱们一起过六一喽😁😁😁	儿童节快乐！我要礼物…
好怀恋的宿舍生活，有同感的转吧！（via陈骏基）	怀念死了！想哭，抱抱大家，快来抱抱我，呜呜。
据央视刚刚报道，神八飞船发射时间确定为今日5时58分10秒。	神八威武，坐等发射
欠自己的旅行，有一天，一定要还给自己！	一定还给自己一次快乐的旅行
有多少人，还记得当年学校的校训的，请举手！	英华女校：寸阴是惜
打车经过伦敦塔，皇室的监禁地和处死地。#Weico拼图#	是威斯敏斯特宫吧，好像也就是西敏寺
哎呀不关我事。是系统自动发送的……我是小倩alink	><求视屏小图看不够过瘾.
别以为我脸大，就可以随便捏我脸！	听见没，不要捏我！
很开心跟你们聊天，晚安	你是睿智的成熟女人。爱你。晚安
记住每一个善待你的人，因为他们本可以不这么做。	感谢每一个对你好的人，因为他们本可以不用对你好的。
仙剑小说2卖得不错，这是京东的排行榜，销售排行榜第一。	先道一声恭喜！不过确实不错！
为了iPhone打字大赛，我的手做了个小手术。	一直觉得这图恶心。
一定要买这张CD，#李霄云#的《你看到的我是蓝色的》	介个要买专辑的事可以当真的吧，哈哈
好声音，一在室外唱现场，怎么就那么大差距啊。	就跟你们一打国际大赛就被各种虐一个道理！
未来十天在波兰，手机不通，有事麻烦私信或邮件吧。	转眼两年前我也在波兰
我这种壮汉，一穿细高跟鞋，就好像在欺凌强暴它。	还会担心把跟踩断。
他们也曾是冠军，但。请看图（转）	信什么也别信dang和zf
北京下雪啦已经不记得上次堆雪人是哪一年	北京下雪难道不是很平常的么。
听我老婆说你咬过她。你别跑！站住！alink	表示看到ANGEL的菊花==
麻麻门在哪里啊，瓦们要出门啦。（欢迎童鞋们添加画外音）	我想要大房子，我们住得有点儿挤
【做个专业的好主人】看懂狗狗的语言，这是多么有必要啊！	好卡哇伊。看懂了这些，你是否也想养只狗狗
家里有个鱼塘感觉就是好！	不好不好，有小朋友的家里千万不要有这样的鱼塘，，，，危险
分享图片普陀一日游呵呵！	为了冠军去新疆吧，为了提高收入去新疆吧，珍爱生命，远离南钢！
汉字太厉害了，看了好久，我承认我中枪了。	啊。华丽丽的中枪了！我读的超顺。完全没有发现！
如果柯南结局是这样，你能接受吗？（via人人网苏暖心）	就算大家希望这样青山刚昌也不会这样的
你们年轻人不知道这个吧，只有我们老一辈的才深有感触。	现在也有啊，每天晚上过了12点，某些电视台都有这个画面
宇宙地镇很黑村，内蒙古看到一个霸气的村镇，牛逼啊。by猫扑	内蒙格敢不敢不这么霸气
炖小母鸡，配料还缺什么吗？可惜姜不够老。	看的我都馋了，可以闻到香味儿呢。
如果感冒再不好我就……	苗姐你身体好我心情就好！
电要用得聪明，这个广告本身就说明了这点。	创意原本该如此简单(分享自Weico频道alink)
贾正经你在我床上做什么坏事呀。	肯定是尿尿了，没好意思告诉你，哈哈
最疼我的男人我真的很爱你。（via小凤凤的小图图）	最爱我的男人，我也爱你
赶路，司机给我补课，给我听吴莫愁的歌。	吴莫愁，我欣赏她，敢于发泄灵魂。
火车站和长途汽车站才是当今中国，飞机场不算。	同意，总是喜欢外表奢华内脏糜烂
看到最后的文字，终于懂了！	现在社会现象就是异地恋电话XXOO维护感情
#UC9语录#不要害怕批评的声音，因为那是对你最好的鞭策。	iPhone手机，最新的版本在哪登陆账户信息
告诉你！哥抱的不是美女，是旺财！	我比较关心的是这只狗狗的性什么···
世界银行行长已面临非常严峻的失业危机	真实真的还是煮的？
兰州牛肉面的江湖风云榜（Via:茉莉Sunmoly）	我不行了'''我的Forever二细
与NBA球员比手大！猜猜哪只手是我的？	胡说，那只大的才是啊雅的，小的是MBA的
小时候吃过这朵花的请举手！	这吃法原来已传遍大江南北了。
某人已经彻底废了，她的新歌以后不听了	去年今年差别太大，莫非去年真是假唱？
马刺啊马刺，煮熟了的鸭子抖抖热水居然又飞走了。咋这样呢？！	是啊，哎，这个搞得人心情不爽啊
绝望了！对这个卖萌的世界绝望了！	兔斯基也撑不住了。
这位女生从小看郑渊洁的书。现在她已经读博士了。（助理代发）	那么。郑渊洁也老了。
#每日趣图#这炫技的停车，太拉风了！	哪里没人，不是有个穿白衣服的人吗
复古-惊艳！真心太美了！	哇，好美，我以后会穿上这么美的婚纱么？
有时候你必须跳出窗外，然后在坠落的过程中长出翅膀。	是这样的。需要一定勇气跳出窗户
昨晚动车上没睡好。明早早班飞上海。今晚要早睡了。	任总，保重身体！说实话的人在中国太少了！
这个抱枕实在太逗了。	它坐在这里，晚上会出人命的。
那些年我们传过的谣言	政府会说：大家去看大片《2012》，政府懵老百姓这是国际惯例。
童鞋们，offer到了！（图by英文王子_张介英）	#新年#作为申请留学的孩纸，我不转这条都对不住我自己！
微小弱势草根群体挣扎着搏一搏就叫微搏。	同时，还有很多有良知的群体加入，形成了一股正义的微博力量！
将来你会感激曾经努力的自己。（via：Hamicat哈咪猫）	将来的你会感激曾经努力的自己！
朋友们早上好，今天的空气质量。	泥马，睡不着，背书去
【童年记忆】为这个东西开心半天的小朋友。现在都不小了吧？	哇，麦丽素，好爱哦、、、
发表了博文《周末画报-孙俪》-alink	抽什么烟抽烟也能上封面？
星巴克月饼！想吃的举手！	每家都有？一看就是我喜欢的口感
上两天班就休息了，交响乐演绎《西游记》alink	80后的十大人物，果然名不虚传。
我很喜欢这个故事，我要特別谢谢送给我这本书的人。	格字后面那个什么字？
网友对""哈利波特""的相貌预测。	杀猪刀啊杀猪刀…太残酷了…
当杨过穿上金轮法王的衣服后：杨过+金轮法王=项少龙	完全否定了人靠衣装这个说法···
麦霸升级全纪录……你到哪一级了？（via：夏Dora）	我已经突破天际了。
#云中歌#我造型美么我点评了alink	美得不明显。来自话题#云中歌#alink
童年的快乐，是如此的简单！	全是回忆不得不转！
共产主义大桥：封闭施工，禁止通行。	修理费太贵，还是另造合算！
#NBA精彩GIF#夏季联赛，火箭队特伦斯-琼斯欧洲步扣篮。	还是wade的好看，更劲爆
女侠我看你骨格精奇……	…………………………………我想我是找到好东西了
拍戏好辛苦啊我要回家555555。	犹抱琵琶者，徐静蕾？
你只适合思念，不适合见面。	和最爱的人相濡以沫，和次爱的人相忘于江湖
周二在西湖边拍摄的花儿一朵，大家早安。！	哇塞这是真的吗好漂亮感觉像假的花
今儿怎么没有失眠签到呢？喂神马？	原本想睡，翻开天竺智障大师的微博，笑多了睡不着了…
【快讯】央视报道，韩国“罗老”号运载火箭发射取消。	屡战屡败屡败屡战…………
首盘黑棋，北京时间今晚十点开战：）hoId住！	小棋后。魏晨哥哥给你加油咯。必胜！
我敢保证这是全世界最假的广告！没有之一啊alink	太假了给红包和没给红包时的表情调转了
累了吗？来，givemefive。给你一点正能量！（图转）	hey，highfive！(⊙o⊙)
『北京晨报』老贝将娶女儿闺密alink	希望他们能真正得到快乐
放长线，钓大鱼，水里的玩意上岸了……	果然没有免费的午餐啊。
今天婚礼我们一定会幸福的	好美的新娘，你们一定会幸福的！
春运上车前。到站下车后。	乐出音了，旁边人直看我
还有没睡的吗？忙什么呢？	刚刚上线，品牌定位比较高，在头痛怎么推广，货存压力也大
龙女EmiliaClarke在《权力的游戏》第三季首映式！	是不是真的。我的女神这戏里戏外差距也忒大了。
这是传说中的“滚回你的火星去”吗？	这只应该是松鼠吧，在外国算不算是虐待动物呢？
春节了，让爱回家。alink	马上过节了对老爸说句“我爱你”！
长颈鹿同学悲催的一生。（via5千克）	神啊，赐我个粉丝吧。
和老妈一起吃午饭。一会儿去上海农场。	老太太精神真好，祝身体健康。
铁丝的影子艺术！你喜欢吗？	总会有一个人。始终追随着你的影子
看一次笑一次。被自己钓的鱼吓坏了的小朋友。	哈哈这个真心好笑。学习累了就上来看看吖吖。
穿行花千树，车若舞龙，人欲疯。	这个风不是一般的大啊
卖烤肉串的，老有才了！	少了个新浪微博呀！
赖昌星无期，吴英死缓，薄谷开来死缓，夏俊峰死刑复核中。	有名了，官当大了，想死都难，表同情
有时候，这就是人生……	呵呵，往前一步，或退后一步，都有不同的境遇
如果你突然被告白了，你会是下面哪种反应？（转）	好喜欢最后一个那种！
该微博已删，大家看到了吗？	看到了，一群猪在法院上班
大喜大悲看清自己，大起大落看清朋友。	下面在做，上面在看
【8月2日17时头条新闻要闻回顾】alink	城管参战？笑话！枪口只会对准自己的老百姓吧
32岁女志愿者汪策在芦山县境内被坠石砸中遇难。	心里难过的同时，还是希望留有通道给更专业的救援队先进去吧
所谓人生，便是取决于遇见谁。	缘分终究会到只不过早晚的事
天赐真的饿了。第五天就要过去了，加油啊！	好心疼啊。宝贝儿，多吃点，好好休息。
颇为靠谱的iPhone5保护壳曝光，10月4日前，给你无尽的想像！	这个机身设计我喜欢
这就是传说中的包子脸嘛=.=吃货太萌了	哇哈哈哈。南瓜头，南瓜脸
我发觉最喜欢土大款式奢华的不是土大款，是领导	其实两者差不多，都没什么品位
DC与漫威如果掐起来了，口胶侠与鹰眼一定要互射。	正义联盟与复仇者联盟
求人肉！天津和上海的人们能忍么！	北京下雨怎么没淹死她呢？
再见，欧洲杯！荷兰，再见！	没事，这就是荷兰，换个主帅，2014再看郁金香绽放。
四川！雅安！川人不倒！同胞雄起！	谢谢，谢谢！赵普老师关心和祝福！雅安震区救援正在进行中……
【漂亮的纸桃心】巧手一双！好美！	真美，留起来美化教室可以用到。
前原诚司：中国是“一贯伪造自己历史的国家”alink	日本也是啊，包括南北朝鲜，亚洲人大多这样
就冲着郭敬明抄袭也死不悔改那劲儿我还就人身攻击了	他心眼和身高可成正比了呢
密切关注草榴有无最新种子流出。	po主想跟小秘书小姐发生不正当关系了吧
母亲节，告诉妈妈，我爱你	好有爱！。愿全天下的母亲永远快乐！
雍正行书---“月影通帘细，花香入座清”	雍容，但不锋芒，喜欢。
#NBA酷图#那时候，我还在小牛；那时候，你还是8号。	如今都成家立业了都老了
#品一品#爱，不是改变对方，而是一起成长。	爱不是改变对方，而是一起成长
这哥们几乎没有不会的项目，人类已经无法阻止普京了。	论个人魅力，普京是现任各国首相中魅力值最高的
真话和假话，究竟哪个更吃香？	生于忧患，死于安乐。
这年头，不发个新版本都不好意思跟大家说圣诞快乐！	更新了什么内容啊，透露透露
志军为朋友两肋插刀，护主有功，被赏缓刑。	两年之后，大家淡忘之后又是好汉。
在雪中，在一个洁白、干净的世界中。	安静，比什么都好。别把自己弄的那么烦。
无论你多么讨厌你的学校，当你离开久了，你还是会想念它。	想念那时年轻的我们
当代文学史上最珍贵难得的一幕	莫言的帽子真好看。
谁敢跟他们比无聊！「图转」	最后一张是。腿毛？
《致青春》好无聊，勿喷。	看到罩疣婷，直接软一半
悍马H2变马车。吃饱了撑着才这么玩吧！	我想问这马拉得动吗
喝醉了才知道你最爱谁，生病了才知道谁最爱你。	每次喝酒后最想的一个人都是她！
大功告成，六斤四两小公主正式release。ld辛苦了	虽然不认识，不过还是祝福下。
用烤面包铺出来的烤面包机。	这么浪费。就不怕引来几百只蟑螂和老鼠啊。
赖床是对周末最起码的尊重。	原谅上课的我不能再尊重你了周末！
所以说，印度成为世界第一强国是迟早的事	不是已经是世界第一强国了吗！？第一强奸大国
【《性生活在别处》作者：暖小团】alink	好文共欣赏。哥问：你最牛逼的性生活在何处？
那些年追过的东方神起。喜欢的，举手哦！(转)	对我来说是：这些年追过的朴有天
有人活着为了活着，有人活着那叫生活。	有人活着只是因为未来还伴有希望
埃及政府拒绝军方48小时最后期限alink	穆兄会也坐不稳啊，看来还是枪杠子了出政权。
这是我一生中离胡哥最近的时刻，3公里	福田区居民表示还是很远啊。
2012北京车展你错过这个了么？alink	我丫根就错过车展了，全是那些不走的大二占了我的名额。
在浏览器输入“alink骗吃骗喝骗炮打.com”这个网址试试看！	介于牛A与牛C之间+10086
一路走下去，没有行李没有牵绊没有束缚，就那么简单	一万多粉丝都没嫁出去啊。
见过这么大的寿司吗？真是太给力了，想吃么？	这个太假了吧，米不可能有这么大的！
听他们说这图上没有女人，我看完自觉面壁了。	仔细看了还是个女人啊
据说，你梦到了一个人，是因为那个人在想你。	好像不对吧…我梦到的人不应该想我呀…
这个年头不抽烟的人真难找，不抽的请转发！	讨厌烟味！绝不抽
果然纳沙台风风眼比整个海南岛大！海南！要hold啊！	在海南的兄弟姐妹们要小心啦
＂如果我们停下来，我们什么都没了。＂	＂如果我们停下来，我们什么都没了。＂晚安
我准备「闭目养神」几日。	难得休闲，不可放过！
小桥流水般的洗手池，太喜欢了！	感觉不错··但是那放毛巾的架子···
她们都说我现在变的很成熟，而我只是比以前变的自私了而已。	谁比谁自私，谁比谁成熟
听说北京下雪了，对吗？	不是吧，都下雪了？成都今天只是感觉到下降了5-6°呢
1992年的我。对不起，请叫我——“铁道部刘德华”。	还真有点神似，敢问董老师后来如何长劣巴的？
好朋友设计的首饰，穿最简单的衣服最好配！好喜欢！	喜欢静姐身上黑色毛衣，可以告诉我撒牌子？求回复！
沉默，可以让混乱的心，变得清澈。	沉默，可以让混乱的心，变得清澈
老爵爷，向您致敬！没有您，就没有曼联！	谢谢老爵爷，谢谢曼联，20冠
美丽镜头下的那份宁静，让你彻底爱上这里——西塘	去过，人少的时候很美
樱桃小丸子长大了……哎！人生得一丸子，足矣。（图转）	博主，还我童年回忆
据说这是女士们风险低、回报率最高的一种投资方式！（转）	月薪还是年薪？日元还是英镑？
大S和富二代结婚之后就变成了大$	大S和富二代结婚之后就变成了大$。
「请便后冲便以便后便者再便」，求下联。	求种后留种发种让种者再种
化妆ing，一会儿录影开始，18期，加油…	噗，你故意的吧。Auv，这楠楠姐叫的噢。
#S+#这个点大家都在看#中国好声音#？	我想看来着，但是在逛超市呢
★世界上10家最美的书店。	等我去了，三个月不愿出来！
男团半决赛两个功臣	娃姐给做啥好吃的啦，给乐乐乐成这样
“诺不轻信，故人不负我，诺不轻许，故我不负人。”	诺不轻许，故我不负人。
长颈鹿长颈鹿。乃滴脖纸为什么介么长。	小胖我真是一天比一天更爱你
剧情超乎想像，好莱坞弱爆了！	你给了网民20分钟制造谣言的时间
老实说，还是咱八十年代的星靠谱有范。看费翔，那风度	费翔是我记住的第一个明星。
这货不是情人儿，这货是姐妹儿。💋	头像和我微信一样！
一但生气，一但情绪，人就变笨了。	我现在就是最聪明滴时候了。
建议：今晚北京可以提供援助的车辆，都打开双闪，便于识别。	没车的眨麻眼算吗？
遇到这种傻逼我只能这么回他！	小互，滚字后面一般都应该加个回字。
暴强的公路减速带，比交警还管用。	咱抚顺不用。满大街都是刨的坑。全年可畅游哦。
Alain家“无法无天”的皮孩子们。（摄影：AlainLaboile）	好幸福。如果那时不可以，就永远不可以了。alink
都是是英雄，差别咋就这么大呢。「图转」	超凡蜘蛛侠TMD就是一个除了人名没变其他都重编的第一集
莫言去年称赞重庆的诗作。	老莫是嫌重庆死的慢，加点油。
早说了，Beckham穿这么帅踢球是会出问题的！(转)	很有待客之道，都不去扶的…good
吃饱喝足！坐在大马路上！哈哈！给力！	兵哥啊，冷不冷啊？我咋看着就冷呢？
用橡皮泥捏可爱的乔巴（详细教程）op本周又休刊。惆怅	点解睇上去有绒毛感
各位吃货，你们眼里的中国是不是这个样子滴？	哎。估计博主是北方人，完全不了解南方的美食
太饿了。工作中的午餐	美女，小心不要饿坏身体
有人带着救生圈去救特8上的人了！哇，三环里游泳啊	汽车不再是我们必须的工具，摆渡或轮船才是生命之源。
我眼神不太好，也是看了5秒才看出来。	才看出来原来是条狗狗。太有才老
我相信爱情，只是不相信人。	啧啧啧，人兽恋。冤孽啊
袁腾飞：爱中国就应该爱中国文化，把中国文化推广到世界。	爱国首先要爱国家的文化，这是首当其冲的。
宝贝你真有才。西瓜要这样吃才爽嘛。！	嘿嘿，又快到吃西瓜的季节了。
这首thriller百听不厌，好歌就是经得起时间打磨啊alink	一直被复制，从未被超越的经典。
没了你我因回忆而活因想象而死	没了你我因回忆而活因想象而死
雪地里雪做的香槟台，浪漫🌹！	李开复达沃斯论坛天天关注的都是吃货，甚是无聊！
【国会山】华灯初上，冬意渐浓。	回到你的祖国向中情局汇报工作了吧。不要回到万恶的中国了
FIT输入法开发者冯华君今日病逝。	搞IT的真是用命来换钱。
当一个老外迷上麻将以后。	当一个老外迷上麻将以后。
泸沽湖畔，想在这安静的住几天。	里格半岛呀。真是好地方。！
2011年中国最新恐怖巨作，超越日式泰式恐怖。	终于稳到部百分百惊悚片！
说一个你不想，也不会离开青岛的理由…	因为那是我的家，生我养我的地方。
还记得他们吗？四十多年，一个都没有少。	以前上观赏课没少看呀
我不就是想连个wifi吗？感受到这个世界的恶意………（图转）	好好休息别上网了听话乖
这些英文千万不要不懂装懂。绝对值得一看！（转）	这些英文千万不要不懂装懂。绝对值得一看
#如果玛雅预言是真的#你现在最大的愿望是？	我的愿望是早点来吧、
有些话，我们开始承认了。	事实胜于雄辩，我承认
只不过是一张纸折的！卧槽！（图via马赛克折纸）	这个还牛了，折出来
没有这盘＂葱烧鳝段＂的秋夜，最难将息	什么也米有的夜晚还是好好地歇息了
北京的夜。冰冷的长安街。炽热的红。亲吻！从没改变！	跟谁玩呢？我也在外面呢。
【70年代笑话】形式主义的极致运用。	可怕的是当时的人一点儿也不觉得这样做多傻屄。
关于读书的两张图。	这取决你看到的是什么书自己过得是什么样的没有书的生活
德国球星巴拉克宣布退役，76一代又一巨星告别。	作为76一代看球的，也快要退役了，一年也看不上几场完整比赛
据说，一个中国人死了，倒在地上，拍扁了就是一张元素周期表。	我们身体里重金属太多了！
证监会：动用FBI读心术核查IPO财务	我的娘啊，先会走了，再跑也不迟。
如果我多一张船票，你会不会跟我一起走？from《花样年华》	既然没有如果，为何你不留下来
今天赢了一场很坚苦的比赛。路还长大家努力。11*40我微访谈。	幸亏是夸你漂亮，不是夸你聪明…不然鼻子改长长了………
#爆料#阿里巴巴明天将宣布新任CEO！	小互总是有第一手信息。到底从哪里来的信息啊
#郑在喝水#郑渊洁提醒你现在喝水。喝完水再留言。	喝水太多对肾不好，应该适量，老郑。
中国最难登上的是12306.cn，其次才是钓鱼岛！	哈哈，这是怎样的豆腐渣工程啊
我被智子锁定了，help！	马上启动面壁计划了吧？
我的演唱会越来越近了！好怕怕哦！	好可爱呢，，演唱会，，成功――
六选五，必须放弃一个，你会果断放弃哪一个？	我放弃4……你的男人或女人
即使是小小的房间，也可以让人觉得和温馨。	这个喜欢。很温暖><
高考是这个时代赐予穷孩子的一粒精神伟哥	可惜我吃的是过效药
大过节的去北京！中央台可真会挑日子啊！	没事。月亮还是一样的！
这才是真正的考听力啊！「转」	人家不写直接涂卡怎么办。
做一个简单的人，平和而执着，谦虚而无畏	平和而执着，谦虚而无畏
……这奇葩的告白让我和我的小伙伴们都惊呆了……	好高端洋气的告白方式233
#料理#【学做最好吃的炸酱面】详细讲解请见图	字好模糊，为学个面，眼睛快看废了
没事儿别去接纳什的毛巾……	看似心甘情愿的接毛巾
这球德赫亚一点责任都没有了。	唉？托雷斯转型贝克汉姆了？
挺萌的！（脑残对话安卓端→：alink）	后面毁了。还想着做人不如香皂。
总有人比你努力，可怕的是比你牛的人比你还努力！	总有人比你努力不可怕，可怕的是比你牛的人比你还努力！
富佬迫我一天喝一瓶水。混身不二	这个杯子和我的一样
东西方聊天字符表情的差别：西方人看重嘴巴，东方人看重眼睛。	从表情上看，西方人躺着东方人站着，不解释。
独在异乡为异客，每逢佳节胖三斤。	我想到的是：每逢家杰胖3斤。
半个自由身了，想着想着就要笑出声来	老王和他那四个同事给你面试了吗
一根火腿，一颗鸡蛋能做什么，吃货告诉你可以逆天。	好看，就是有点油，吃了会胖吧
大家躲远点，接下来施展的是个禁术：「忍法•双眼皮之术」。	不动时有一种唱吧头像即视感。
用心甘情愿的态度，过随遇而安的生活。	喜欢这句话，也喜欢这张图。但是现实中有几人能做到哦。
民国上海---南京路河南路，哈同大楼老介福绸缎局	西门子这么早已进入中国了
舜耕路上已经水流成河了！	我这太阳高照一点也没下
如何辨识你身边谁是蝙蝠侠。	晚上的太阳镇厉害==。无法直视啊！
有意思，林肯和肯尼迪到底有啥关系？网上看来的。	这绝对不是巧合。！
我在广州，二十三岁，想去马尔代夫，一个人。	我在潍坊，26岁，想去北京，一个人
历史文档，贝志城2003年2月的信。	贝同学，好人！真好！
你只适合思念，不适合见面。	你只适合思念不适合见面
人民网再涨停，市值已达130亿元人民币！alink	7.1前争取市值干点“非死不可”
职场三定律：要么忍！要么狠！要么滚！	它不会给你避风港。
人生啊只要能够在善良里去快乐，还有什么不值得感恩的呢。	好可爱又让人怜爱的狗狗
2012——各种偶像陆续坍塌的一年。	天后老了嗓音真的大不如前啊
心情终于好了，中午吃到鸡蛋了	哈哈···迪奥古好可爱····好好保护他耶
